NamePlanet,NamePlanet_link,star_name,AltName,RAdeg,DECdeg,RadiusPlanet_EU,orbital_period_EU,semi_major_axis_EU,eccentricity_EU,inclination_EU,omega_EU,tzero_tr_EU,log_g_EU,magK_EU,star_Metallicity_EU,star_Radius_EU,star_Teff_EU,Tstar_Ex,FeH_star_Ex,Rstar_Ex,loggstar_Ex,semimajoraxis_Ex,Rpl_Ex
HD 106315 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=235,HD 106315,HD 106315,183.4724817,-0.3934869,0.218,9.5521,0.09012,0.3,88.4,72,2457505.6521,,,-0.24,1.18,6290,,,,,,
HD 106315 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=236,HD 106315,HD 106315,183.4724817,-0.3934869,0.352,21.0576,0.1526,0.23,89.42,106,2457511.131,,,-0.24,1.18,6290,,,,,,
K2-3  b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=257,UCAC4 443-054906,K2-3,172.33495,-1.454786,0.194,10.054626,0.0775,0.06,89.59,,2455813.4189,,8.561,-0.3,0.553,3951,,,,,,
K2-3 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=258,UCAC4 443-054906,K2-3,172.33495,-1.454786,0.165,24.646582,0.1405,0.04,89.7,,2456812.28018,,8.561,-0.3,0.553,3951,,,,,,
K2-3 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=405,UCAC4 443-054906,K2-3,172.33495,-1.454786,0.194,10.054626,0.0775,0.06,89.59,,2455813.419,,8.561,-0.3,0.553,3951,,,,,,
K2-3 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=406,UCAC4 443-054906,K2-3,172.33495,-1.454786,0.136,44.5598,89.38,0.045,,,2456826.229,,8.561,-0.3,0.553,3951,,,,,,
K2-18 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=256,K2-18,K2-18,172.560458,7.588392,0.2114,32.939623,0.1429,0.2,89.5785,,2457264.39144,,,0.09,0.394,3503,,,,,,
WASP-107 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=379,TYC 5530-1795-1,WASP-107,188.386867,-10.14615,0.94,5.72149,0.055,,89.7,,2456514.4106,,,0.02,0.66,4430,,,,,,
WASP-127 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=382,BD-03  2978,WASP-127,160.55868,-3.8350797,1.37,4.178062,0.052,,88.7,,2457248.74131,,,,1.39,5620,5750,-0.18,1.39,4.18,0.05,1.37
KELT-11 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=262,HD 93396,KELT-11,161.7072527,-9.39902416,1.37,4.736529,0.06229,,85.8,,2457440.8323,,,0.18,2.72,5370,5370,0.18,2.72,3.73,0.06,1.37
WASP-31 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=388,WASP-31,WASP-31,169.438987,-19.054781,1.537,3.405909,0.04657,,84.54,,2455192.6887,,,-0.19,1.24,6200,6175,-0.2,1.25,4.31,0.05,1.55
WASP-43 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=392,GSC 05490-00141,WASP-43,154.908367,-9.806275,1.036,0.81347753,0.01526,0.0035,82.33,328,2455726.54336,,,-0.01,0.667,4520,4520,-0.01,0.67,4.64,0.02,1.04
GJ 436 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=215,Ross 905,GJ436,175.5462217,26.7065703,0.38,2.64394,0.02887,0.1912,85.8,354.4,2454221.61588,,,-0.32,0.464,3684,3416,-0.03,0.46,4.83,0.03,0.37
HD 97658 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=249,HD  97658,HD 97658,168.6381721,25.7103861,0.20047,9.4903,0.08,0.078,89.14,71,2456523.1254,,,-0.23,0.73,5170,5170,-0.23,0.74,4.58,0.08,0.2
HAT-P-26 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=228,TYC  320-1027-1,HAT-P-26,213.1563863,4.06003,0.5647,4.234516,0.0479,0.124,88.6,54,2455304.65122,,,-0.04,0.788,5079,5011,0.01,0.79,4.56,0.05,0.56
HATS-7 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=234,GSC 06148-00422,HATS-7,208.856975,-21.207683,0.563,3.185315,0.04012,,87.92,,,,,0.25,0.815,4985,,,,,,
WASP-39 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=390,GSC 04980-00761,WASP-39,217.3267,-3.444492,1.27,4.055259,0.0486,,87.83,,2455342.9688,,,-0.12,0.895,5400,5460,-0.12,0.9,4.5,0.05,1.27
WASP-13 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=383,TYC 2496-1114-1,WASP-13,140.1029575,33.8824214,1.365,4.353011,0.05379,,85.64,,2455575.5136,,,,,5826,6025,0.11,1.66,4.09,0.06,1.53
HAT-P-12 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=222,GSC 03033-00706,HAT-P-12,209.3895,43.49353,0.9545917648,3.2130598,0.0384,,,,2454419.19556,,,-0.29,0.7,4650,4650,-0.29,0.7,4.61,0.04,0.94
GJ 1132 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=211,GJ 1132,GJ1132,153.7162271,-47.1568464,0.1035,1.628931,0.0154,,,,2457184.55786,,,-0.12,0.207,3270,,,,,,
GJ 1132 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=212,GJ 1132,GJ1132,153.7162271,-47.1568464,,8.929,0.0476,0.27,,,,,,-0.12,0.207,3270,,,,,,
55 Cnc b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=203,55 Cnc,rho 01 Cnc,133.1492122,28.33081975,,14.65314,0.11339,0.0023,89.73,110,,,,0.31,0.98,5196,5196,0.31,0.94,4.43,,
55 Cnc c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=204,55 Cnc,rho 01 Cnc,133.1492122,28.33081975,,44.373,0.23735,0.072,,356,,,,0.31,0.98,5196,5196,0.31,0.94,4.43,,
55 Cnc d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=205,55 Cnc,rho 01 Cnc,133.1492122,28.33081975,,4867,5.446,0.0269,,254,,,,0.31,0.98,5196,5196,0.31,0.94,4.43,,
55 Cnc e,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=206,55 Cnc,rho 01 Cnc,133.1492122,28.33081975,0.1737,0.7365478,0.015439,0.028,90.36,170,2455962.0697,,,0.31,0.98,5196,5196,0.31,0.94,4.43,0.02,0.17
55 Cnc f,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=207,55 Cnc,rho 01 Cnc,133.1492122,28.33081975,,260.91,0.7733,0.08,,139,,,,0.31,0.98,5196,5196,0.31,0.94,4.43,,
HAT-P-3 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=229,TYC 3466-819-1,HAT-P-3,206.0941454,48.0286694,0.827,2.899703,0.03866,,87.07,,2454856.70118,,9.448,0.41,0.799,5224,5185,0.27,0.87,4.51,0.04,0.95
WASP-19 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=386,GSC 08181-01711,WASP-19,148.416988,-45.659183,1.395,0.78884,0.01616,0.0046,79.4,3,2455168.96801,,,0.02,1.004,5500,5460,0.14,1.02,4.39,0.02,1.41
HIP 41378 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=251,BD+10  1799,HIP 41378,126.6160379,10.0803708,0.26,15.5712,,,88.4,,2457152.2844,,,-0.11,1.4,6199,,,,,,
HIP 41378 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=252,BD+10  1799,HIP 41378,126.6160379,10.0803708,0.228,31.6978,,,89.58,,2457163.1659,,,-0.11,1.4,6199,,,,,,
HIP 41378 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=253,BD+10  1799,HIP 41378,126.6160379,10.0803708,0.353,157,,,,,2457166.2629,,,-0.11,1.4,6199,,,,,,
HIP 41378 e,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=254,BD+10  1799,HIP 41378,126.6160379,10.0803708,0.492,131,,,,,2457142.01656,,,-0.11,1.4,6199,,,,,,
HIP 41378 f,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=255,BD+10  1799,HIP 41378,126.6160379,10.0803708,0.91,324,,,,,2457186.91451,,,-0.11,1.4,6199,,,,,,
GJ 3470 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=214,GJ  3470,GJ3470,119.7743427,15.3914487,0.3738074294,3.336649,0.03557,0.114,88.3,278,2455953.663,,,0.2,0.48,3652,3652,0.17,0.48,4.78,0.04,0.35
WASP-17 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=384,TYC 6787-1927-1,WASP-17,239.9622803,-28.0617576,1.991,3.735438,0.0515,0.028,86.83,277.4,2454577.85806,,,-0.19,1.38,6650,6550,-0.25,1.58,4.15,0.05,1.93
K2-33 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=259,2MASS J16101473-1919095,K2-33,242.561408,-19.319319,0.451,5.42513,0.0409,,89.1,,2456898.69288,,,,1.06,3540,,,,,,
HAT-P-13 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=223,TYC 3416-543-1,HAT-P-13,129.882555,47.3520361,1.28,2.916243,0.0426,0.0142,83.3,223,2455176.5388,,,0.43,1.56,5638,5653,0.41,1.76,4.07,0.04,1.49
HAT-P-13 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=224,TYC 3416-543-1,HAT-P-13,129.882555,47.3520361,,446.27,1.186,0.6616,,175.29,,,,0.43,1.56,5638,5653,0.41,1.76,4.07,,
XO-1 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=403,BD+28  2507,XO-1,240.5493625,28.1695614,1.184,3.9415128,0.0488,,89.31,,2453808.91682,,,,0.928,,5750,0.02,0.94,4.51,0.05,1.21
WASP-103 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=378,2MASS J16371556+0711000,WASP-103,249.314867,7.183353,1.528,0.925542,0.01985,,86.3,,2456459.59957,,,0.06,1.436,6110,6110,0.06,1.41,4.22,0.02,1.65
HD 149026 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=237,HD 149026,HD 149026,247.6234104,38.3473078,0.718,2.8758916,0.04288,,85.3,,2454597.70713,,,0.36,1.497,6147,6147,0.36,1.54,4.19,0.04,0.81
XO-2N b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=404,TYC 3413-5-1,XO-2N,117.02695,50.225822,0.973,2.615838,0.0369,0.045,88.7,,2454147.74902,,,0.45,0.964,5340,5332,0.43,1,4.44,0.04,1.02
WASP-121 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=381,TYC 7630-352-1,WASP-121,107.6002479,-39.0973783,1.865,1.2749255,0.02544,0.02,87.6,,2456635.70832,,,0.13,1.458,6460,6460,0.13,1.46,4.24,0.03,1.86
CoRoT-1 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=208,CoRoT-1,CoRoT-1,102.079883,-3.102133,1.49,1.5089557,0.0254,,83.96,,2454159.4532,,,0.06,1.11,6298,,,,,,
HAT-P-18 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=227,GSC 02594-00646,HAT-P-18,256.346462,33.012492,0.947,5.508029,0.0559,0.106,88.79,120,2454715.02254,2.734,,0.1,0.717,4870,4870,0.1,0.72,4.61,0.06,0.95
GJ 1214 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=213,GJ 1214,GJ1214,258.82892,4.96381,0.2382018703,1.58040482,0.01411,0.27,88.17,,2455391.65402,,,0.39,0.216,3026,3026,0.39,0.22,4.94,0.01,0.25
WASP-101 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=377,CPD-23  1329,WASP-101,98.3511142,-23.4861928,1.41,3.585722,0.0506,,85,,2456164.6934,,,0.2,1.29,6400,6380,0.2,1.29,4.34,0.05,1.41
WASP-12 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=380,WASP-12,WASP-12,97.6366429,29.6723019,1.9,1.0914203,0.0234,,83.37,,2456176.66826,,10.19,0.3,1.657,6360,6313,0.21,1.66,4.16,0.02,1.9
WASP-63 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=396,TYC 7612-556-1,WASP-63,94.3364538,-38.3232703,1.43,4.37809,0.0574,,87.8,,2455921.6527,,,0.08,1.88,5550,5715,0.28,1.88,4.01,0.06,1.43
TrES-3 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=375,Tres 3,Tres 3,268.02924,37.54618,1.305,1.30618608,0.0226,,81.93,,2454538.58069,,,-0.19,0.813,5720,,,,,,
TrES-4 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=376,NAME TrES-4 Parent Star,TrES-4 parent star,268.3043758,37.2118319,1.706,3.5539268,0.05084,,82.81,,2454230.90524,,,0.14,1.798,6200,6295,0.28,1.83,4.09,0.05,1.84
WASP-62 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=395,CPD-64   484,WASP-62,87.1399658,-63.9884367,1.39,4.411953,0.0567,,88.3,,2455855.39195,,,0.04,1.28,6230,6230,0.04,1.28,4.32,0.06,1.39
Kepler-94 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=365,KOI-104,Kepler-94,281.1947672,47.49715187,0.313,2.50806,,,,,,,10.594,0.34,0.76,4781,,,,,,
Kepler-94 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=366,KOI-104,Kepler-94,281.1947672,47.49715187,,820,,,,,,,10.594,0.34,0.76,4781,,,,,,
Kepler-102 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=266,KOI-82,Kepler-102,281.4827339,47.20801209,0.042,5.28696,0.055,,,,,,9.351,0.18,0.76,4809,,,,,,
Kepler-102 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=267,KOI-82,Kepler-102,281.4827339,47.20801209,0.052,7.07142,0.067,,,,,,9.351,0.18,0.76,4809,,,,,,
Kepler-102 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=268,KOI-82,Kepler-102,281.4827339,47.20801209,0.104,10.3117,,,,,,,9.351,0.18,0.76,4809,,,,,,
Kepler-102 e,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=269,KOI-82,Kepler-102,281.4827339,47.20801209,0.198,16.14569,0.117,,89.56,360,,,9.351,0.18,0.76,4809,,,,,,
Kepler-102 f,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=270,KOI-82,Kepler-102,281.4827339,47.20801209,0.079,27.4536,0.165,,,,,,9.351,0.18,0.76,4809,,,,,,
Kepler-410 A b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=329,HD 175289,Kepler-410,283.1506671,45.1398186,0.2531898531,17.833648,0.1236,0.17,87.72,270,2455014.22232,,,0.09,1.41,6375,,,,,,
Kepler-62 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=346,KOI-701,Kepler-62,283.2127162,45.34983335,0.117,5.714932,0.0553,,89.2,,2455003.9189,,,-0.21,0.63,4869,,,,,,
Kepler-62 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=347,KOI-701,Kepler-62,283.2127162,45.34983335,0.048,12.4417,0.0929,,89.7,,2454967.651,,,-0.21,0.63,4869,,,,,,
Kepler-62 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=348,KOI-701,Kepler-62,283.2127162,45.34983335,0.174,18.16406,0.12,,89.7,,2455013.8117,,,-0.21,0.63,4869,,,,,,
Kepler-62 e,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=349,KOI-701,Kepler-62,283.2127162,45.34983335,0.144,122.3874,0.427,,89.98,,2454983.404,,,-0.21,0.63,4869,,,,,,
Kepler-62 f,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=350,KOI-701,Kepler-62,283.2127162,45.34983335,0.126,267.291,0.718,,89.9,,2455412.71,,,-0.21,0.63,4869,,,,,,
KELT-7 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=263,HD  33643,KELT-7,78.2955375,33.3181667,1.533,2.7347749,0.04415,,83.76,,2456223.9592,,,0.139,1.732,6789,6789,0.14,1.73,4.15,0.04,1.53
Kepler-10 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=264,Kepler-10,Kepler-10,285.6794218,50.24130577,0.1311,0.83749026,0.01685,0.06,84.8,,2455034.08687,,,-0.15,1.065,5708,,,,,,
Kepler-10 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=265,Kepler-10,Kepler-10,285.6794218,50.24130577,0.2097,45.294301,0.241,0.05,89.59,,2455062.26648,,,-0.15,1.065,5708,,,,,,
Kepler-37 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=326,KOI-245,Kepler-37,284.0596157,44.51816368,0.0285,13.367308,0.1003,,88.63,,2455017.03271,,,-0.32,0.77,5417,,,,,,
Kepler-37 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=327,KOI-245,Kepler-37,284.0596157,44.51816368,0.0669106377,21.301886,0.1368,,89.07,,2455024.83816,,,-0.32,0.77,5417,,,,,,
Kepler-37 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=328,KOI-245,Kepler-37,284.0596157,44.51816368,0.1730755162,39.792187,0.2076,,89.335,,2455008.24979,,,-0.32,0.77,5417,,,,,,
Kepler-26 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=321,KOI-250,Kepler-26,284.9410029,46.56651057,0.248,12.2829,0.085,,,,2454978.8321,,,-0.21,0.59,4500,,,,,,
Kepler-26 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=322,KOI-250,Kepler-26,284.9410029,46.56651057,0.243,17.2513,0.107,,,,2454982.8854,,,-0.21,0.59,4500,,,,,,
Kepler-26 e,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=323,KOI-250,Kepler-26,284.9410029,46.56651057,0.215,46.827915,0.22,,,,,,,-0.21,0.59,4500,,,,,,
Kepler-504 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=338,KOI-249,Kepler-504,284.9218419,45.97237691,0.142,9.54927542,,,,,,,11.155,-0.31,0.33,3519,,,,,,
Kepler-127 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=285,KOI-271,Kepler-127,285.189953,46.02796985,0.136,14.43577,0.125,0.47,,,,,10.234,-0.154,1.36,6106,,,,,,
Kepler-127 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=286,KOI-271,Kepler-127,285.189953,46.02796985,0.2131,29.39344,0.2,0.03,,,,,10.234,-0.154,1.36,6106,,,,,,
Kepler-127 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=287,KOI-271,Kepler-127,285.189953,46.02796985,0.238,48.62997,0.28,0.03,,,,,10.234,-0.154,1.36,6106,,,,,,
Kepler-236 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=313,KOI-817,Kepler-236,283.8663766,39.89809971,0.14,8.295611,0.065,,,,,,12.312,0.119,0.51,3750,,,,,,
Kepler-236 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=314,KOI-817,Kepler-236,283.8663766,39.89809971,0.178,23.968127,0.132,,,,,,12.312,0.119,0.51,3750,,,,,,
TrES-2 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=374,Kepler-1,TrES-2 parent star,286.8084871,49.3164158,1.189,2.4706133738,0.03555,,83.908,,2453957.6355,,,-0.15,1,5850,,,,,,
Kepler-205 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=307,KOI-663,Kepler-205,285.287111,41.86115786,0.135,2.75564,0.032,,,,,,10.833,-0.149,0.55,4321,,,,,,
Kepler-205 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=308,KOI-663,Kepler-205,285.287111,41.86115786,0.146,20.306546,0.122,,,,,,10.833,-0.149,0.55,4321,,,,,,
Kepler-13 A b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=288,BD+46  2629,KOI-13,286.97128,46.8683203,2.042,1.7633587,,,85.135,,2455138.7439,,,-0.14,2.55,8500,,,,,,
Kepler-16 (AB) b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=294,Kepler-16,KEPLER-16,289.075729,51.757433,0.7538,228.776,0.7048,0.00685,90.0322,318,2455212.12316,,,-0.3,0.65,4450,,,,,,
Kepler-14 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=292,KOI-98,Kepler-14,287.708792,47.333019,1.136,6.790123,,0.035,90,,,,,0.12,2.048,6395,,,,,,
Kepler-9 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=361,Kepler-9,KEPLER-9,285.573983,38.400883,0.732,19.22418,0.143,0.0626,87.1,356.9,2455073.43381,,,0.17,1.1,5722,,,,,,
Kepler-9 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=362,Kepler-9,KEPLER-9,285.573983,38.400883,0.74,38.969,0.229,0.0684,87.2,169.3,2455164.18301,,,0.17,1.1,5722,,,,,,
Kepler-9 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=363,Kepler-9,KEPLER-9,285.573983,38.400883,0.1784283673,1.592851,0.0273,,,,2455015.094,,,0.17,1.1,5722,,,,,,
Kepler-22 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=312,KOI-87,Kepler-22,289.2174601,47.88442987,0.21,289.8623,0.849,,89.764,,2454966.6983,,,-0.29,0.979,5518,,,,,,
Kepler-25 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=318,KOI-244,Kepler-25,286.6383931,39.48787721,0.2411,6.2385369,0.068,0.05,,,2454973.5126,,,0.01,1.36,6190,,,,,,
Kepler-25 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=319,KOI-244,Kepler-25,286.6383931,39.48787721,0.4598,12.7203678,0.11,0.01,,,2454986.0871,,,0.01,1.36,6190,,,,,,
Kepler-25 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=320,KOI-244,Kepler-25,286.6383931,39.48787721,,123,,,,,,,,0.01,1.36,6190,,,,,,
Kepler-104 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=271,Kepler-104,Kepler-104,287.6046368,42.16673748,0.277,11.427548,0.094,,,,,,11.209,-0.777,1.35,5711,,,,,,
Kepler-104 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=272,Kepler-104,Kepler-104,287.6046368,42.16673748,0.279,23.668205,0.153,,,,,,11.209,-0.777,1.35,5711,,,,,,
Kepler-104 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=273,Kepler-104,Kepler-104,287.6046368,42.16673748,0.319,51.755394,0.257,,,,,,11.209,-0.777,1.35,5711,,,,,,
Kepler-20 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=301,Kepler-20,Kepler-20,287.6980145,42.33869427,0.1667,3.69611525,0.0463,0.03,87.355,,2454967.50201,,,0.02,0.944,5466,,,,,,
Kepler-20 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=302,Kepler-20,Kepler-20,287.6980145,42.33869427,0.2718,10.85409089,0.0949,0.16,89.815,,2454971.60795,,,0.02,0.944,5466,,,,,,
Kepler-20 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=303,Kepler-20,Kepler-20,287.6980145,42.33869427,0.2448,77.61130017,0.3506,0.6,89.708,,2454997.7303,,,0.02,0.944,5466,,,,,,
Kepler-20 e,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=304,Kepler-20,Kepler-20,287.6980145,42.33869427,0.0772,6.09852281,0.0639,,87.632,,2454968.93154,,,0.02,0.944,5466,,,,,,
